Vaccine Candidate	Trial Phase	Donor Country	Finalized Commitment	Manufacturer	Manufacturer Primary Location	Recipient Country 	Doses Committed (in millions)	1 or 2 doses	Timeline 	Donation/Purchased	Secondary or Tertiary Transfer	Transfer Type	Recipient Income Level	 GNI/capita (Atlas method) 	GNI (Current USD, in millions)	Doses/Capita	Proportion of population	 Population size 	Population size (in millions)	Notes	Source
AstraZeneca/Oxford	Approved	Sweden	Yes			COVAX	1	2	May-21	Donation	Secondary	Direct	COVAX	 9,100 	62,148,189.00	0.0001	0.007%	 6,829,734,856 	 6,829.735 	Donation increased from 1m to 3m, but the additional 2m pledged during the GAVI summit in June 2021 for unknown vaccine.	https://www.gavi.org/news/media-room/world-leaders-unite-commit-global-equitable-access-covid-19-vaccines ; https://www.reuters.com/business/healthcare-pharmaceuticals/sweden-donate-least-3-million-vaccine-doses-covax-2021-2021-05-25/ ; https://www.gavi.org/news/media-room/gavi-signs-agreement-moderna-secure-doses-behalf-covax-facility
Not available	#N/A	Sweden	Yes			COVAX	2	#N/A		Donation	Secondary	Direct	COVAX	 9,100 	62,148,189.00	0.0003	#N/A	 6,829,734,856 	 6,829.735 	Donation pledged to COVAX during the GAVI Summit in June 2021, in addition to the previous 1m	https://www.gavi.org/news/media-room/world-leaders-unite-commit-global-equitable-access-covid-19-vaccines
Sinovac	Approved	Turkey	Yes			Bosnia and Herzegovina	0.03	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 6,170 	20,375.25	0.0091	0.454%	 3,301,000 	 3.301 		https://balkaninsight.com/2021/03/31/bosnian-leaders-slammed-for-vaccine-scarcity-as-pandemic-worsens/
Sinovac	Approved	Turkey	Yes			Cyprus	0.34	2	Apr-21	Donation	Secondary	Direct	High income	 27,710 	24,628.87	0.2837	14.184%	 1,198,575 	 1.199 	Donation made to northern Cyprus [the area recognized solely by Turkey as the Turkish Republic of Northern Cyprus]. Several batches of doses donated so far totalling to atleast 0.34m.	https://www.aa.com.tr/en/middle-east/turkey-sends-another-50-000-vaccine-doses-to-northern-cyprus/2285780 ; https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/turkey-sends-40-000-more-vaccine-doses-to-north-cyprus/2214127
Sinovac	Approved	Turkey	Yes			Libya	0.15	2	Apr-21	Donation	Secondary	Direct	Upper middle income	 7,640 	51,755.22	0.0221	1.107%	 6,777,452 	 6.777 		https://www.middleeastmonitor.com/20210414-turkey-ships-covid-19-vaccine-donation-to-libya/
Sinovac	Approved	Turkey	Yes			North Macedonia	0.03	2	Jun-21	Donation	Secondary	Direct	Upper middle income	 5,840 	12,164.37	0.0144	0.720%	 2,083,459 	 2.083 	Another delivery of 0.5m doses reported in late June but the sender or the nature of arrangement (whether purchased or donated) has not been made clear	https://www.dailysabah.com/turkey/turkey-donates-covid-19-vaccines-to-north-macedonia/news ; https://apnews.com/article/coronavirus-vaccine-coronavirus-pandemic-health-government-and-politics-business-1827f4b8b524449d72dd43e62a97ac63
Pfizer/BioNTech	Approved	Undisclosed	Yes			Albania	0.001	2	Jan-21	Donation	Secondary	Direct	Upper middle income	 5,220 	14,906.83	0.0004	0.018%	 2,854,191 	 2.854 	Albania received a donation from an undisclosed EU country.	https://exit.al/en/2021/01/11/albania-starts-vaccination-of-medical-staff-with-975-doses/ ; https://abcnews.go.com/Health/wireStory/albania-carries-1st-vaccinations-donated-doses-75177352
Pfizer/BioNTech	Approved	Undisclosed	Yes			Netherlands	0.6	2		Purchased	Secondary	Direct	High income	 53,100 	920,333.91	0.0346	1.731%	 17,332,850 	 17.333 	The Netherlands is reported to have purchased, from one or more EU countries, an additional 600,000 doses	https://www.nytimes.com/2021/03/02/us/politics/merck-johnson-johnson-vaccine.html
Gamaleya	Approved	United Arab Emirates	Yes			Albania	0.01	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 5,220 	14,906.83	0.0035	0.175%	 2,854,191 	 2.854 		https://seenews.com/news/uae-donates-10000-doses-of-sputnik-v-vaccine-to-albania-report-735406
Sinopharm/Beijing	Approved	United Arab Emirates	Yes			Egypt	0.05	2	Feb-21	Donation	Secondary	Direct	Lower middle income	 2,690 	269,859.17	0.0005	0.025%	 100,388,073 	 100.388 		https://www.nytimes.com/2021/02/11/world/asia/vaccine-diplomacy-india-china.html#click=https://t.co/Tv0JrEK1qr
Sinopharm/Beijing	Approved	United Arab Emirates	Terminated			Malaysia	0.5	2		Donation	Secondary	Direct	Upper middle income	 11,230 	358,835.30	0.0156	0.782%	 31,949,777 	 31.950 	Malaysia declined the offer from the UAE, stating that Sinopharm needed to be approved by their regulatory first.	https://www.nytimes.com/2021/02/11/world/asia/vaccine-diplomacy-india-china.html#click=https://t.co/Tv0JrEK1qr
Pfizer/BioNTech	Approved	United Arab Emirates	Yes			Mauritania	0.005	2	Feb-21	Donation	Secondary	Direct	Lower middle income	 1,660 	7,493.58	0.0011	0.055%	 4,525,696 	 4.526 		https://www.aa.com.tr/en/africa/mauritania-begins-covid-19-vaccination-campaign/2189322
Sinopharm/Beijing	Approved	United Arab Emirates	Yes			Paraguay	0.003	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 5,520 	38,878.97	0.0004	0.021%	 7,044,636 	 7.045 		https://en.mercopress.com/2021/03/24/paraguay-s-health-minister-total-quarantine-imminent; https://www.abc.com.py/nacionales/2021/03/13/llegaron-3000-dosis-donadas-por-emiratos/
Sinopharm/Beijing	Approved	United Arab Emirates	Unclear			Philippines	0.5	2	May-21	Donation	Secondary	Direct	Lower middle income	 3,850 	415,750.09	0.0046	0.231%	 108,116,615 	 108.117 		https://www.cnnphilippines.com/news/2021/4/29/UAE-plans-Sinopharm-vaccine-donation.html
Sinopharm/Beijing	Approved	United Arab Emirates	Yes			Seychelles	0.05	2	Jan-21	Donation	Secondary	Direct	High income	 16,900 	1,650.34	0.5122	25.608%	 97,625 	 0.098 		https://www.reuters.com/article/uk-health-coronavirus-seychelles/seychelles-rolls-out-covid-19-vaccination-using-chinas-sinopharm-says-presidents-office-idUSKBN29G0J0
Gamaleya	Approved	United Arab Emirates	Yes			West Bank and Gaza	0.04	2	Mar-21	Donation	Secondary	Direct	Lower middle income	 4,190 	19,140.22	0.0085	0.427%	 4,685,306 	 4.685 	Unclear if vaccinations will be approved by the Palestinian President Mahmoud Abbas, as the donation has been secured by his political rival Mohammad Dahlan. Also unclear if Israel would allow transfer of doses from Gaza to West Bank.	https://www.reuters.com/article/us-health-coronavirus-palestinian-rivals/palestinians-receive-40000-covid-19-vaccines-from-uae-idUSKBN2B32GM
Not available	#N/A	United Kingdom	Yes			COVAX	80	#N/A		Donation	Secondary	Direct	COVAX	 9,100 	62,148,189.00	0.0117	#N/A	 6,829,734,856 	 6,829.735 	The UK announced at the G7 summit in June 2021 that it will donate at least 100m of its surplus doses, and atleast 5m of these will be donated in coming weeks. Of the 100m, 80m will be donated to COVAX, the rest will be donated bilaterally	https://www.reuters.com/business/healthcare-pharmaceuticals/what-are-g7-countries-pledging-vaccine-doses-2021-06-10/ ; https://www.reuters.com/business/healthcare-pharmaceuticals/g7-donate-1-billion-covid-19-vaccine-doses-poorer-countries-2021-06-10/
Not available	#N/A	United Kingdom	No			Unclear	20	#N/A		Donation	Secondary	Direct	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	The UK announced at the G7 summit in June 2021 that it will donate at least 100m of its surplus doses, and atleast 5m of these will be donated in coming weeks. Of the 100m, 80m will be donated to COVAX, the rest will be donated bilaterally	https://www.reuters.com/business/healthcare-pharmaceuticals/what-are-g7-countries-pledging-vaccine-doses-2021-06-10/ ; https://www.reuters.com/business/healthcare-pharmaceuticals/g7-donate-1-billion-covid-19-vaccine-doses-poorer-countries-2021-06-10/
AstraZeneca/Oxford	Approved	United States of America	Yes			Canada	1.5	2		Loan	Secondary	Direct	High income	 46,370 	1,742,831.17	0.0399	1.995%	 37,589,262 	 37.589 	The White House has stated that the vaccines would be a loan - vaccines would be shipped now in exchange for doses sent back to the US at a later date.	https://www.nytimes.com/2021/03/18/world/americas/usa-mexico-vaccine-coronavirus.html ; https://globalnews.ca/news/7733789/astrazeneca-vaccine-doses-canada-us-approved/
AstraZeneca/Oxford	Approved	United States of America	Yes			Mexico	2.7	2	Mar-21	Loan	Secondary	Direct	Upper middle income	 9,480 	1,209,833.68	0.0212	1.058%	 127,575,529 	 127.576 	The White House has stated that the vaccines would be a loan - vaccines would be shipped now in exchange for doses sent back to the US at a later date. The donation/loan appears to be linked to ongoing negotiations over the flow of migrants at the US-Mexico border.	https://www.reuters.com/world/americas/mexico-sees-us-sending-around-5-mln-astrazeneca-vaccine-doses-2021-04-30/ ; https://www.nytimes.com/2021/03/18/world/americas/usa-mexico-vaccine-coronavirus.html ; https://www.theguardian.com/world/2021/may/01/mexico-astrazeneca-covid-vaccine-us-aid
Johnson & Johnson	Approved	United States of America	Yes			South Korea	1	1	Jun-21	Donation	Secondary	Direct	High income	 33,790 	1,747,192.99	0.0193	1.934%	 51,709,098 	 51.709 	Initial reports suggested 0.013m doses of J&J will be supplied to the South Korean military by the US. The final agreement reached between the two governments did not mention which vaccine will be provided but said 0.55m doses will be provided. But 1m doses of J&J were finally sent to South Korea.	https://www.reuters.com/world/asia-pacific/us-sends-1-mln-jj-covid-19-vaccine-doses-skorea-state-dept-2021-06-04/ ; https://www.reuters.com/world/asia-pacific/south-koreas-moon-be-second-leader-second-asian-welcomed-by-biden-2021-05-21/ ; https://www.reuters.com/business/healthcare-pharmaceuticals/us-military-offers-jj-vaccines-south-korean-troops-2021-05-17/
Not available	#N/A	United States of America	Yes			Unclear	52.5	#N/A		Donation	Secondary	Intermediary - COVAX	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	The US announced that of its donation of 80m doses, 75% (or 60m) will go through COVAX, while the rest will be donated bilaterally. On 3 June, it announced a distribution plan for the donation of 25m, followed by another announcement oon 22 June for the remaining 55m doses. Of the COVAX donations, individual countries earmarked to recieve donations have been announced but the amounts are unkwown. The individual donations and allocations will be decided by the US. Brazil, Guatemala, Honduras and Taiwan are among these recipients whose allocations are known (hence reduced total doses). Of the 19m doses, about 6m are for South and Central America, about 7m are for South and Southeast Asia, and about 5m are for Afria (to be decied with the African Union). Of the 41m doses (part of 2nd distribution plan), 14m are for Latin America and the Caribbean, 16m are for Asia, and 10m for Africa. The vaccines donated will be Pfizer, Moderna and J&J (Astrazeneca donation depends on FDA approval). The US had earlier stated that it will donate up to 60m doses of AstraZeneca vaccines and 20m doses of other vaccines. AZE will be donated pending safety clearance by the FDA in the coming weeks. Fill list of countries can be found in the links.	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/ ; https://www.reuters.com/business/healthcare-pharmaceuticals/white-house-lays-out-plan-share-remaining-55-mln-us-covid-19-shots-globally-2021-06-21/ ; https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/03/fact-sheet-biden-harris-administration-unveils-strategy-for-global-vaccine-sharing-announcing-allocation-plan-for-the-first-25-million-doses-to-be-shared-globally/ ; https://www.reuters.com/business/healthcare-pharmaceuticals/biden-says-us-send-25-million-covid-vaccines-around-world-2021-06-03/ ; https://www.nytimes.com/2021/04/26/us/politics/biden-vaccine-india.html
Not available	#N/A	United States of America	Yes			Unclear	14	#N/A		Donation	Secondary	Direct	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	The US announced that of its donation of 80m doses, 75% (or 60m) will go through COVAX, while the rest 20m will be donated bilaterally. It also announced a distribution plan for the donation of 25m of the total 80m doses, which includes 6m doses that will be donated to specific countries. The distribution plan for the rest 14m doses is yet to be announced and hence recipient is marked 'Unclear'. The vaccine to be donated is unknown. Earlier, The US announced that it will send 20m doses of Pfizer, Moderna or J&J abroad, including those meant for domestic use as supply is exceeding demand. It had also stated that it will donate up to 60m doses of AstraZeneca vaccines, pending safety clearance by the FDA in the coming weeks.The donations are expected to begin in June.	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/ ; https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/03/fact-sheet-biden-harris-administration-unveils-strategy-for-global-vaccine-sharing-announcing-allocation-plan-for-the-first-25-million-doses-to-be-shared-globally/ ; https://www.reuters.com/business/healthcare-pharmaceuticals/biden-says-us-send-25-million-covid-vaccines-around-world-2021-06-03/ ; https://www.bloomberg.com/news/articles/2021-05-17/biden-to-send-u-s-authorized-vaccines-abroad-for-first-time?utm_source=twitter&utm_content=business&cmpid=socialflow-twitter-business&utm_medium=social&utm_campaign=socialflow-organic&sref=V7uxlNge
Pfizer/BioNTech	Approved	United States of America	Yes			COVAX	500	2	Aug-21	Donation	Secondary	Direct	COVAX	 9,100 	62,148,189.00	0.0732	3.660%	 6,829,734,856 	 6,829.735 	US plans to donate 200m doses in 2021 and 300m in 2022 to 92 lower middle income countries and the African Union. Donation plan announced around the G7 summit and is part of the total 1b doses pledged. Doses will be purchased at not-for-profit rates from Pfizer and has an option to buy more doses. All donations are expected to be completed by June 2022.	https://www.reuters.com/world/us/us-donate-500-million-pfizer-vaccine-doses-world-washington-post-2021-06-09/ ; https://www.politico.eu/article/biontech-pfizer-confirm-us-will-donate-500m-vaccine-doses-to-covax/
Moderna	Approved	United States of America	Yes			Taiwan	2.5	2	Jun-21	Donation	Secondary	Intermediary - COVAX	High income	 26,594 	#N/A	0.1059	5.296%	 23,603,121 	 23.603 	The US is donating these doses to Taiwan through COVAX, and is part of the 19m plan for COVAX distribution. Doses announced after the 25m donation plan made public on June 3. Donation increased to 2.5m from the initial 0.75m	https://edition.cnn.com/2021/06/19/asia/taiwan-us-vaccine-donations-intl-hnk/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rss%2Fcnn_topstories+%28RSS%3A+CNN+-+Top+Stories%29 ; https://www.reuters.com/world/asia-pacific/taiwan-receive-750000-covid-19-vaccine-doses-us-2021-06-06/ ; https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/03/fact-sheet-biden-harris-administration-unveils-strategy-for-global-vaccine-sharing-announcing-allocation-plan-for-the-first-25-million-doses-to-be-shared-globally/
Johnson & Johnson	Approved	United States of America	Yes			Mexico	1	1		Donation	Secondary	Direct	Upper middle income	 9,480 	1,209,833.68	0.0078	0.784%	 127,575,529 	 127.576 	Doses announced after the 25m donation plan made public on June 3. Donation part of the bilateral distribution of 6m doses	https://www.reuters.com/world/americas/mexico-says-us-send-it-1-mln-jj-covid-19-vaccines-2021-06-03/ ; https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/03/fact-sheet-biden-harris-administration-unveils-strategy-for-global-vaccine-sharing-announcing-allocation-plan-for-the-first-25-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Guatemala	0.5	#N/A		Donation	Secondary	Intermediary - COVAX	Upper middle income	 4,610 	76,502.44	0.0301	#N/A	 16,604,026 	 16.604 	The US is donating these doses to Guatemala through COVAX, and is part of the 19m plan for COVAX distribution. Doses announced after the 25m donation plan made public on June 3.	https://www.reuters.com/world/americas/guatemala-says-us-send-half-million-covid-19-vaccine-doses-2021-06-03/ ; https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/03/fact-sheet-biden-harris-administration-unveils-strategy-for-global-vaccine-sharing-announcing-allocation-plan-for-the-first-25-million-doses-to-be-shared-globally/
Moderna	Approved	United States of America	Yes			Canada	1	2	Jun-21	Donation	Secondary	Direct	High income	 46,370 	1,742,831.17	0.0266	1.330%	 37,589,262 	 37.589 	Donation plan for 25m doses made public on June 3. This donation is part of the bilateral distribution of 6m doses. on June 17 2021, US announced that it delivered 1m doses to Canada	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/03/fact-sheet-biden-harris-administration-unveils-strategy-for-global-vaccine-sharing-announcing-allocation-plan-for-the-first-25-million-doses-to-be-shared-globally/ ; https://www.reuters.com/world/americas/us-says-delivered-one-million-covid-19-vaccine-doses-canada-thursday-2021-06-18/
Not available	#N/A	United States of America	Yes			South Korea		#N/A		Donation	Secondary	Direct	High income	 33,790 	1,747,192.99	0.0000	#N/A	 51,709,098 	 51.709 	Donation plan for 25m doses made public on June 3. This donation is part of the bilateral distribution of 6m doses. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/03/fact-sheet-biden-harris-administration-unveils-strategy-for-global-vaccine-sharing-announcing-allocation-plan-for-the-first-25-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			West Bank and Gaza		#N/A		Donation	Secondary	Direct	Lower middle income	 4,190 	19,140.22	0.0000	#N/A	 4,685,306 	 4.685 	Donation plan for 25m and 55m doses made public on June 3 and June 21 respectively. This donation is mentioned as part of the bilateral distribution of 6m and 14m doses in both the announcements. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/ ; https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/03/fact-sheet-biden-harris-administration-unveils-strategy-for-global-vaccine-sharing-announcing-allocation-plan-for-the-first-25-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Ukraine		#N/A		Donation	Secondary	Direct	Lower middle income	 3,370 	141,637.01	0.0000	#N/A	 44,385,155 	 44.385 	Donation plan for 25m and 55m doses made public on June 3 and June 21 respectively. This donation is mentioned as part of the bilateral distribution of 6m and 14m doses in both the announcements. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/ ; https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/03/fact-sheet-biden-harris-administration-unveils-strategy-for-global-vaccine-sharing-announcing-allocation-plan-for-the-first-25-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Kosovo		#N/A		Donation	Secondary	Direct	Upper middle income	 4,640 	8,333.44	0.0000	#N/A	 1,794,248 	 1.794 	Donation plan for 25m and 55m doses made public on June 3 and June 21 respectively. This donation is mentioned as part of the bilateral distribution of 6m and 14m doses in both the announcements. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/ ; https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/03/fact-sheet-biden-harris-administration-unveils-strategy-for-global-vaccine-sharing-announcing-allocation-plan-for-the-first-25-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Haiti		#N/A		Donation	Secondary	Direct	Low income	 1,330 	15,027.20	0.0000	#N/A	 11,263,077 	 11.263 	Donation plan for 25m and 55m doses made public on June 3 and June 21 respectively. This donation is mentioned as part of the bilateral distribution of 6m and 14m doses in both the announcements. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/ ; https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/03/fact-sheet-biden-harris-administration-unveils-strategy-for-global-vaccine-sharing-announcing-allocation-plan-for-the-first-25-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Georgia		#N/A		Donation	Secondary	Direct	Upper middle income	 4,780 	17,789.95	0.0000	#N/A	 3,720,382 	 3.720 	Donation plan for 25m and 55m doses made public on June 3 and June 21 respectively. This donation is mentioned as part of the bilateral distribution of 6m and 14m doses in both the announcements. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/ ; https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/03/fact-sheet-biden-harris-administration-unveils-strategy-for-global-vaccine-sharing-announcing-allocation-plan-for-the-first-25-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Egypt		#N/A		Donation	Secondary	Direct	Lower middle income	 2,690 	269,859.17	0.0000	#N/A	 100,388,073 	 100.388 	Donation plan for 25m and 55m doses made public on June 3 and June 21 respectively. This donation is mentioned as part of the bilateral distribution of 6m and 14m doses in both the announcements. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/ ; https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/03/fact-sheet-biden-harris-administration-unveils-strategy-for-global-vaccine-sharing-announcing-allocation-plan-for-the-first-25-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Jordan		#N/A		Donation	Secondary	Direct	Upper middle income	 4,410 	44,542.12	0.0000	#N/A	 10,101,694 	 10.102 	Donation plan for 25m and 55m doses made public on June 3 and June 21 respectively. This donation is mentioned as part of the bilateral distribution of 6m and 14m doses in both the announcements. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/ ; https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/03/fact-sheet-biden-harris-administration-unveils-strategy-for-global-vaccine-sharing-announcing-allocation-plan-for-the-first-25-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			India		#N/A		Donation	Secondary	Direct	Lower middle income	 2,120 	2,893,205.30	0.0000	#N/A	 1,366,417,754 	 1,366.418 	Donation plan for 25m doses made public on June 3. This donation is part of the bilateral distribution of 6m doses. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/03/fact-sheet-biden-harris-administration-unveils-strategy-for-global-vaccine-sharing-announcing-allocation-plan-for-the-first-25-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Iraq		#N/A		Donation	Secondary	Direct	Upper middle income	 5,740 	225,739.22	0.0000	#N/A	 39,309,783 	 39.310 	Donation plan for 25m and 55m doses made public on June 3 and June 21 respectively. This donation is mentioned as part of the bilateral distribution of 6m and 14m doses in both the announcements. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/ ; https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/03/fact-sheet-biden-harris-administration-unveils-strategy-for-global-vaccine-sharing-announcing-allocation-plan-for-the-first-25-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Yemen, Rep.		#N/A		Donation	Secondary	Direct	Low income	 940 	26,739.57	0.0000	#N/A	 29,161,922 	 29.162 	Donation plan for 25m and 55m doses made public on June 3 and June 21 respectively. This donation is mentioned as part of the bilateral distribution of 6m and 14m doses in both the announcements. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/ ; https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/03/fact-sheet-biden-harris-administration-unveils-strategy-for-global-vaccine-sharing-announcing-allocation-plan-for-the-first-25-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			United Nations		#N/A		Donation	Secondary	Direct	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	Donation plan for 25m doses made public on June 3. This donation is part of the bilateral distribution of 6m doses. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/03/fact-sheet-biden-harris-administration-unveils-strategy-for-global-vaccine-sharing-announcing-allocation-plan-for-the-first-25-million-doses-to-be-shared-globally/
Pfizer/BioNTech	Approved	United States of America	Yes			Trinidad and Tobago	0.0004	2	Jun-21	Donation	Secondary	Direct	High income	 17,010 	23,723.24	0.0003	0.014%	 1,394,973 	 1.395 	US donated 80 vials of the vaccine to T&T. Doses estimated based on 5 dose per vial	https://www.reuters.com/business/healthcare-pharmaceuticals/chinese-media-mocks-us-donation-80-vaccine-vials-trinidad-tobago-2021-06-16/
Johnson & Johnson	Approved	United States of America	Yes			Brazil	3	1	Jun-21	Donation	Secondary	Intermediary - COVAX	Upper middle income	 9,130 	1,926,332.31	0.0142	1.421%	 211,049,527 	 211.050 	Doses donated as part of the US plan to share 80m doses. Of the 80m, 75% (60m) doses are to be donated through COVAX and are earmarked for specific countries, the rest are to be donated bilaterally. Brazil is mentioned as part of the COVAX plan, although news reports have not mentioned anything on COVAX involvement in the current donation	https://www.reuters.com/business/healthcare-pharmaceuticals/us-send-3-million-jj-covid-19-vaccine-doses-brazil-white-house-2021-06-23/
Johnson & Johnson	Approved	United States of America	Yes			Colombia	2.5	1		Donation	Secondary	Direct	Upper middle income	 6,510 	327,710.70	0.0497	4.966%	 50,339,443 	 50.339 	Donation part of the 80m donation pledge. Doses to be donated directly to Colombia	https://www.reuters.com/article/us-health-coronavirus-colombia/colombia-says-to-get-2-5-million-janssen-covid-shot-donation-from-u-s-idUSKCN2E4244 ; https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Argentina		#N/A		Donation	Secondary	Direct	Upper middle income	 11,130 	500,111.58	0.0000	#N/A	 44,938,712 	 44.939 	Donation plan for 55m doses made public on June 21. This donation is part of the bilateral distribution of 14m doses. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Dominican Republic		#N/A		Donation	Secondary	Direct	Upper middle income	 8,080 	86,749.30	0.0000	#N/A	 10,738,958 	 10.739 	Donation plan for 55m doses made public on June 21. This donation is part of the bilateral distribution of 14m doses. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Costa Rica		#N/A		Donation	Secondary	Direct	Upper middle income	 11,700 	59,048.61	0.0000	#N/A	 5,047,561 	 5.048 	Donation plan for 55m doses made public on June 21. This donation is part of the bilateral distribution of 14m doses. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Panama		#N/A		Donation	Secondary	Direct	High income	 14,950 	63,468.43	0.0000	#N/A	 4,246,439 	 4.246 	Donation plan for 55m doses made public on June 21. This donation is part of the bilateral distribution of 14m doses. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Afghanistan		#N/A		Donation	Secondary	Direct	Low income	 530 	20,043.57	0.0000	#N/A	 38,041,754 	 38.042 	Donation plan for 55m doses made public on June 21. This donation is part of the bilateral distribution of 14m doses. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/
Not available	#N/A	United States of America	Yes			Bangladesh		#N/A		Donation	Secondary	Direct	Lower middle income	 1,940 	316,235.04	0.0000	#N/A	 163,046,161 	 163.046 	Donation plan for 55m doses made public on June 21. This donation is part of the bilateral distribution of 14m doses. Individual allocation yet to be announced	https://www.whitehouse.gov/briefing-room/statements-releases/2021/06/21/fact-sheet-biden-harris-administration-announces-allocation-plan-for-55-million-doses-to-be-shared-globally/
